index,key,time_ns,steps
861,166890,1334,27
862,779780,1333,27
863,903343,4500,61
864,497733,1125,24
865,471933,1125,22
866,271783,1333,24
867,788296,1250,22
868,259250,1041,22
869,880661,2125,37
870,668637,1333,21
871,290783,1125,20
872,803014,1958,30
873,815452,1000,17
874,546623,1333,26
875,508137,1125,24
876,657194,3125,45
877,250868,1166,19
878,287937,1375,27
879,461240,2250,25
880,81248,2208,35
881,748207,1292,23
882,299608,2042,35
883,245885,1292,22
884,284914,1875,33
885,352162,1083,19
886,335240,1292,25
887,936407,1042,18
888,566391,1959,37
889,84492,1375,29
890,145096,1042,19
891,158158,1292,24
892,242496,959,17
893,401642,1125,19
894,727660,1250,23
895,160228,1291,24
896,740735,958,19
897,224346,1084,19
898,67349,1083,18
899,435021,1042,19
900,427399,1042,21
901,346955,2375,35
902,568970,1083,24
903,488558,3208,48
904,435971,1250,22
905,65291,1375,26
906,216882,1125,22
907,873350,1166,17
908,440553,1375,25
909,408397,1167,21
910,948792,958,16
911,807190,1000,19
912,612452,1250,22
913,992018,1084,16
914,729309,1208,23
915,20481,1042,21
916,898349,1083,18
917,923436,1250,22
918,802785,1125,22
919,603656,2000,32
920,398859,3166,50
921,500150,2375,44
922,6183,1333,26
923,988537,2334,37
924,368846,1875,34
925,313119,1167,19
926,790076,1875,35
927,408931,1084,20
928,894906,3042,48
929,934954,1250,22
930,999745,1042,15
931,876326,1084,20
932,439376,2041,38
933,564366,1125,19
934,783827,1166,24
935,770320,1833,31
936,572662,958,22
937,838723,1167,25
938,632557,1167,20
939,941424,1667,30
940,231252,1042,21
941,511946,1042,20
942,230081,958,20
943,286194,917,21
944,457008,1750,35
945,509233,1166,28
946,30435,1083,23
947,407747,958,22
948,352458,1209,23
949,701365,2125,37
950,712132,2709,47
951,836913,1167,26
952,423957,1000,18
953,759360,1125,25
954,173062,1709,29
955,881335,958,22
956,490095,959,18
957,964210,1666,35
958,133828,1041,21
959,652484,1000,20
960,560070,1667,35
961,28277,2750,44
962,950984,1792,32
963,413161,1208,21
964,620645,2125,43
965,591808,1042,21
966,695206,916,16
967,28419,1041,19
968,88026,2792,36
969,673972,1250,26
970,449434,1250,28
971,142292,1709,35
972,908960,958,19
973,484126,917,22
974,190557,1083,22
975,52728,917,17
976,272794,1750,33
977,397520,958,22
978,343255,1041,21
979,221942,2833,47
980,476787,1167,22
981,342723,1167,25
982,353895,1084,24
983,798208,916,21
984,922370,1125,23
985,397543,1125,25
986,291774,916,19
987,788540,875,20
988,997410,916,17
989,872336,875,18
990,442043,1083,22
991,264526,1084,22
992,875468,2000,34
993,85885,1166,24
994,493153,958,19
995,20325,1042,22
996,785409,3042,49
997,565622,1125,23
998,54616,1084,21
999,998161,1333,21
1000,366961,1125,22
1001,235114,1041,22
1002,681726,1291,24
1003,71952,2291,38
1004,819183,1958,31
1005,683415,1917,33
1006,42214,1167,21
1007,790871,1000,17
1008,32538,1083,22
1009,995741,1250,19
1010,259296,1333,26
1011,209045,1084,21
1012,879996,1166,22
1013,21370,1375,22
1014,651518,1333,24
1015,159785,1375,24
1016,250133,3041,48
1017,132353,1250,28
1018,496565,3417,56
1019,701979,1084,21
1020,119947,1125,20
1021,591365,1375,26
1022,993796,123750,45
1023,228553,1334,21
1024,487624,1458,27
1025,733443,1167,17
1026,268691,1459,24
1027,804151,2125,32
1028,386815,1333,22
1029,175940,1125,23
1030,635325,1334,27
1031,636746,1291,22
1032,784257,1333,23
1033,753253,1959,33
1034,120097,2250,37
1035,815574,1042,21
1036,859100,1041,16
1037,171721,1125,20
1038,326148,1166,25
1039,113350,1041,24
1040,606795,2041,37
1041,26926,1084,24
1042,974009,1042,18
1043,327111,1250,27
1044,603767,1083,19
1045,710251,1084,20
1046,952135,1042,16
1047,393538,2250,35
1048,415923,1042,21
1049,987204,2000,31
1050,749748,1209,24
1051,207964,2250,35
1052,79689,1083,20
1053,620860,1167,21
1054,724162,1959,36
1055,870918,1291,24
1056,657712,1334,24
1057,254647,1083,19
1058,106852,1042,23
1059,731060,959,17
1060,810005,1000,21
1061,316233,1291,22
1062,891598,1166,19
1063,717498,1125,17
1064,629578,1333,29
1065,844658,1042,17
1066,126936,1333,28
1067,834905,2292,40
1068,593424,4333,57
1069,820653,1041,19
1070,43065,1083,21
1071,364070,1500,29
1072,558624,1083,21
1073,449187,2334,45
1074,693656,1000,19
1075,388572,1083,20
1076,72307,1083,22
1077,530539,1084,21
1078,678999,1333,22
1079,357807,1125,25
1080,13267,1958,33
1081,890845,1333,25
1082,440464,1083,21
1083,862277,5209,60
1084,514014,1041,21
1085,110666,1959,38
1086,454583,1042,21
1087,379782,1125,21
1088,666460,1375,23
1089,934885,1042,18
1090,868963,1000,19
1091,482072,1041,19
1092,741667,2458,38
1093,160423,1042,21
1094,456642,1083,23
1095,184693,1334,28
1096,769441,1333,20
1097,547092,1292,24
1098,682055,1209,21
1099,283202,1125,18
1100,645831,1125,20
1101,847459,1000,17
1102,964290,1000,19
1103,564316,1084,21
1104,812271,1417,24
1105,506984,1083,22
1106,487456,2083,39
1107,456733,1083,23
1108,865846,1209,23
1109,766537,1917,32
1110,621255,2333,38
1111,281434,1916,34
1112,337961,4541,66
1113,893086,1292,19
1114,257421,1292,25
1115,871085,1250,22
1116,980023,1458,26
1117,90873,1208,25
1118,292478,1375,27
1119,924458,2000,35
1120,472701,1250,28
1121,255710,1000,24
1122,786932,1292,23
1123,487283,1084,24
1124,597531,1000,21
1125,639980,1291,26
1126,700647,1208,19
1127,397400,1917,38
1128,352738,1333,20
1129,30095,2041,40
1130,518318,959,19
1131,892289,2291,36
1132,340803,1041,20
1133,190673,1250,25
1134,511234,1333,22
1135,222424,1042,21
1136,372061,1167,20
1137,836588,1083,20
1138,270903,1333,25
1139,356872,2000,37
1140,293244,3375,51
1141,923083,1083,19
1142,625114,3167,50
1143,735245,1042,17
1144,922860,1167,23
1145,289689,1084,18
1146,582790,1333,25
1147,10645,1125,21
1148,541723,1791,32
1149,994116,1125,17
1150,200338,1334,23
1151,89772,1416,31
1152,253081,1208,23
1153,755054,1125,20
1154,426171,2334,43
1155,512312,1917,38
1156,582145,1250,28
1157,794994,1042,18
1158,251998,1917,36
1159,724157,1083,23
1160,499220,1042,21
1161,677279,2333,38
1162,746421,1083,21
1163,514664,1000,20
1164,469946,1250,26
1165,831451,1916,35
1166,18081,1125,23
1167,97574,1083,23
1168,308529,1083,20
1169,232361,1375,24
1170,424046,1250,25
1171,725392,2125,38
1172,255124,1083,20
1173,321081,1917,37
1174,696213,1917,30
1175,609806,1083,21
1176,386946,1334,26
1177,496250,1125,21
1178,580359,1958,36
1179,556712,1292,21
1180,360456,1042,18
1181,446174,1333,25
1182,782170,2041,36
1183,577125,1000,20
1184,346860,1208,26
1185,368901,1959,41
1186,736997,1000,17
1187,475787,2084,43
1188,284077,1000,22
1189,321518,959,22
1190,263616,1792,35
1191,241737,1750,34
1192,126517,1042,23
1193,756322,917,19
1194,201940,4875,73
1195,330877,1125,24
1196,125363,1250,28
1197,778968,1208,23
1198,561895,1041,23
1199,997068,1083,19
1200,799214,917,19
1201,723689,959,23
1202,194144,1166,22
1203,200846,1000,22
1204,226896,1250,26
1205,774484,958,16
1206,507720,2792,34
1207,289931,917,19
1208,759783,1250,27
1209,618227,1084,22
1210,797136,1167,28
1211,550122,958,19
1212,625781,1000,23
1213,296746,958,22
1214,105410,1334,30
1215,873075,1041,21
1216,203548,1000,18
1217,310637,1791,30
1218,238534,1125,23
1219,378412,959,19
1220,188159,1792,37
1221,316951,1167,22
1222,14836,1333,28
1223,742412,1375,28
1224,560082,1875,32
1225,132732,1291,28
1226,287637,1250,28
1227,47727,1041,21
1228,57175,1000,20
1229,580239,1125,23
1230,306328,1041,21
1231,731296,1083,23
1232,989950,1125,19
1233,132414,1291,28
1234,668855,3166,48
1235,910648,1375,24
1236,789360,1083,24
1237,514724,1250,23
1238,107571,1334,30
1239,915113,1125,22
1240,12862,1333,29
1241,601950,1084,20
1242,298152,1333,24
1243,492199,1125,18
1244,501969,1334,20
1245,461866,1125,23
1246,357257,1333,28
1247,193320,1042,22
1248,53873,1292,28
1249,264743,1083,20
1250,986777,1333,20
1251,903583,1042,22
1252,500936,3292,43
1253,119630,1083,19
1254,862051,1834,36
1255,68518,1250,22
1256,420173,2000,35
1257,515634,1375,29
1258,77681,1375,27
1259,605051,1125,23
1260,660022,1375,26
1261,719797,1458,29
1262,56214,1250,25
1263,159098,1250,25
1264,156446,2166,42
1265,850545,1083,20
1266,590181,1125,23
1267,995231,2041,29
1268,318595,1291,21
1269,89319,3375,57
1270,260248,1333,24
1271,124206,2250,43
1272,585182,1250,29
1273,801578,1125,22
1274,436391,1333,28
1275,635771,1917,36
1276,625085,1083,22
1277,829152,1166,23
1278,648459,1250,23
1279,236651,1916,33
1280,813374,3333,48
1281,547958,1292,25
1282,398856,1083,22
1283,472399,1375,26
1284,952636,1041,21
1285,464227,2208,42
1286,311798,1083,19
1287,901951,1125,21
1288,617114,1083,19
1289,449661,3250,45
1290,320215,1583,29
1291,596252,1459,20
1292,651195,2375,35
1293,63157,2792,38
1294,639245,2917,18
1295,776040,1375,17
1296,104054,1209,19
1297,993621,1041,19
1298,799788,1375,29
1299,217882,1709,24
1300,655901,1291,18
1301,221276,2584,32
1302,277502,1542,20
1303,692510,1416,20
1304,85132,1667,28
1305,164687,1750,29
1306,251517,1250,22
1307,182257,2375,38
1308,578806,1375,22
1309,78712,1333,27
1310,164137,1375,30
1311,2806,4250,60
1312,428362,1209,22
1313,472388,1125,18
