index,key,time_ns,steps,deleted
872,492985,1584,27,1
873,778326,1333,24,1
874,724157,1375,25,1
875,965776,1333,21,1
876,460906,1250,25,1
877,569828,1458,24,1
878,104658,1542,28,1
879,717957,1292,23,1
880,611485,1291,22,1
881,238704,1333,23,1
882,289667,1208,24,1
883,114612,1125,21,1
884,928326,1583,26,1
885,902518,1250,23,1
886,352738,1375,27,1
887,852228,1334,25,1
888,890743,1459,23,1
889,277371,1041,21,1
890,194547,1292,25,1
891,184655,1292,24,1
892,292005,1167,22,1
893,391327,2500,36,1
894,809001,1375,25,1
895,161451,1167,21,1
896,960344,1333,21,1
897,765381,1541,27,1
898,888971,1250,21,1
899,143903,1416,23,1
900,672742,1291,25,1
901,58656,1333,25,1
902,602428,1459,23,1
903,753790,1333,25,1
904,929182,1333,23,1
905,337865,1334,23,1
906,998661,1250,19,1
907,842701,1458,27,1
908,856722,1500,25,1
909,899399,1291,25,1
910,797442,1209,24,1
911,790974,1208,24,1
912,530536,1333,23,1
913,347705,1250,23,1
914,871890,1375,24,1
915,830556,1375,27,1
916,793613,1334,27,1
917,566844,1458,26,1
918,235766,1334,25,1
919,759783,1333,25,1
920,574486,1125,19,1
921,564743,2333,34,1
922,566433,1458,28,1
923,633040,1375,25,1
924,623946,1292,21,1
925,735393,1500,24,1
926,451489,2250,34,1
927,146571,1291,22,1
928,362832,1459,26,1
929,567852,1542,28,1
930,625781,1125,20,1
931,197304,1583,28,1
932,690994,1500,24,1
933,429069,1334,22,1
934,541923,1333,24,1
935,464227,1250,24,1
936,547404,1209,24,1
937,413038,1209,24,1
938,398344,1375,25,1
939,240933,1584,27,1
940,569577,1333,24,1
941,301611,1417,23,1
942,953891,1542,25,1
943,549698,1292,23,1
944,738858,1416,25,1
945,245926,1250,24,1
946,330829,1375,23,1
947,542348,2500,34,1
948,867720,1416,22,1
949,887827,1416,23,1
950,78502,1458,25,1
951,909314,1417,26,1
952,44034,1500,28,1
953,792314,1584,27,1
954,902925,1416,25,1
955,521918,1375,26,1
956,681665,1458,25,1
957,739390,1417,25,1
958,235616,1417,26,1
959,95326,1375,24,1
960,678721,1500,29,1
961,439487,1416,28,1
962,690078,1375,25,1
963,436182,1583,29,1
964,801281,1292,25,1
965,992957,1334,21,1
966,648315,2375,33,1
967,276107,1458,27,1
968,314314,1417,26,1
969,302219,1333,25,1
970,312688,1333,24,1
971,91538,1250,22,1
972,258422,1416,24,1
973,178,1541,28,1
974,508994,875,11,1
975,897288,1208,22,1
976,576681,1542,24,1
977,734892,1500,26,1
978,899696,1375,26,1
979,286043,1333,26,1
980,61438,1375,27,1
981,547719,1375,24,1
982,813895,1417,25,1
983,399153,1458,28,1
984,87950,1125,23,1
985,102989,1291,25,1
986,128094,1333,25,1
987,341969,1542,29,1
988,150648,1125,23,1
989,592448,1375,25,1
990,751679,1375,25,1
991,657668,1375,25,1
992,759360,1333,26,1
993,262866,1333,21,1
994,827095,1458,24,1
995,762423,2542,36,1
996,989950,1375,20,1
997,903683,1209,23,1
998,684734,1291,25,1
999,801369,1250,26,1
